#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','110065','Paraglider','CH46795','BeK','Y','Y'
'F','110066','Paraglider','CH13903','DaB','Y','Y'
'O','11006A','Paraglider','ch52856','FrS','Y','Y'
'F','110070','Paraglider','CH9164','ToW','Y','Y'
'F','110071','Paraglider','5385 SS','','Y','Y'
'F','110078','Paraglider','CH42893','ChM','Y','Y'
'O','110084','Paraglider','Bene','Ben','Y','Y'
'F','11008C','Paraglider','Karin','Kar','Y','Y'
'F','11008D','Paraglider','11008D','','Y','Y'
'F','110096','Paraglider','DaniloB','DaB','Y','Y'
'F','110099','Paraglider','Wolf','WAK','Y','Y'
'F','11009D','Paraglider','Bru','Bru','Y','Y'
'F','11009E','Paraglider','34','','Y','Y'
'O','1100AA','Paraglider','CH32358','DoS','Y','Y'
'F','1100B2','Paraglider','7493','','Y','Y'
'O','1100C0','Paraglider','R. Zorn','RZo','Y','Y'
'F','1100C2','Paraglider','YetiSam','Sam','Y','Y'
'F','1100C5','Paraglider','RaMu','','Y','Y'
'F','1100CF','Paraglider','Simon S','SiS','Y','Y'
'F','1100E4','Paraglider','49984','ChF','Y','Y'
'F','1100E8','Paraglider','brunand','','Y','Y'
'F','1100EC','Paraglider','AV','AV','Y','Y'
'F','1100EF','Paraglider','','hjb','Y','Y'
'F','1100F8','Paraglider','FranzDo','FDo','Y','Y'
'F','1100F9','Paraglider','ORLO','ORL','Y','Y'
'F','1100FB','Paraglider','DKeidel','DKE','Y','Y'
'F','1100FC','Paraglider','D-NNAV','','Y','Y'
'F','1100FF','Paraglider','XXXXXX','ThH','Y','Y'
'O','110106','Paraglider','CH32358','fNk','Y','Y'
'F','110108','Paraglider','Bernd S','Sch','Y','Y'
'F','110117','Paraglider','','270','Y','Y'
'F','11011E','Paraglider','FLYOVER','20P','Y','Y'
'F','11012E','Paraglider','53841','SAS','Y','Y'
'O','110136','Paraglider','CH45095','SyB','Y','Y'
'F','110137','Arcus M','35917','','Y','Y'
'F','110141','Paraglider','49028','EB','Y','Y'
'F','110148','Paraglider','Arnold','','Y','Y'
'F','110151','Paraglider','IOTA2','','Y','Y'
'F','11015A','Paraglider','26046','','Y','Y'
'F','11015C','Paraglider','52882','PAT','Y','Y'
'F','110165','Paraglider','Stolli','','Y','Y'
'F','110168','Paraglider','Boris','BW','Y','Y'
'F','110169','Paraglider','110169','','Y','Y'
'F','11016D','Mustang (UL)','D-MSIF','','Y','Y'
'F','11017C','Paraglider','dimi89','dk','Y','Y'
'F','11017D','Paraglider','RLiners','','Y','Y'
'F','110182','Paraglider','1101MD','','Y','Y'
'F','110186','Paraglider','23197','','Y','Y'
'F','11018A','Paraglider','39426','N_S','Y','Y'
'F','110196','Paraglider','','M.S','Y','Y'
'F','11019C','Paraglider','WM','','Y','Y'
'F','1101A5','Paraglider','OE-6801','','Y','Y'
'F','1101A8','Paraglider','andy_r','','Y','Y'
'F','1101A9','HangGlider','','','Y','Y'
'F','1101AB','Paraglider','53097','','Y','Y'
'F','1101B7','Paraglider','','','Y','Y'
'F','1101BD','Paraglider','','','Y','Y'
'F','1101C0','Paraglider','OZONE','D3','Y','Y'
'F','1101C1','Paraglider','','','Y','Y'
'O','1101C3','Paraglider','PST','PST','Y','Y'
'F','1101C8','Paraglider','JuMu','','Y','Y'
'F','1101CB','Paraglider','KIPFI','','Y','Y'
'F','1101CE','Paraglider','','','Y','Y'
'F','1101D4','Paraglider','LAD','','Y','Y'
'F','1101D6','Paraglider','52770','','Y','Y'
'O','1101DE','','','','Y','N'
'F','1101E0','Paraglider','KoNy','KM','Y','Y'
'F','1101E3','Paraglider','segra','101','Y','Y'
'F','1101E6','Paraglider','49483','','Y','Y'
'F','1101EB','Paraglider','43061','Tom','Y','Y'
'F','110202','Paraglider','MaU','MaU','Y','Y'
'O','110203','Paraglider','IOTA_2','JB','Y','Y'
'F','110207','Paraglider','DMZZN','007','Y','Y'
'F','11020D','Paraglider','Tupath','','Y','Y'
'F','11020F','Paraglider','11020F','','Y','Y'
